enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
Realiza una tabla de frecuencias,Realiza una tabla de frecuencias,"\begin{tabular}{rrrrrrr}
\hline
   x\_i &   f\_i &   F\_i &       h\_i &       H\_i &      \%\_i &      \%A\_i \\
\hline
     1 &     2 &     2 & 0.0952381 & 0.0952381 &  9.52381 &   9.52381 \\
     2 &     3 &     5 & 0.142857  & 0.238095  & 14.2857  &  23.8095  \\
     3 &     4 &     9 & 0.190476  & 0.428571  & 19.0476  &  42.8571  \\
     4 &     4 &    13 & 0.190476  & 0.619048  & 19.0476  &  61.9048  \\
     5 &     3 &    16 & 0.142857  & 0.761905  & 14.2857  &  76.1905  \\
     6 &     1 &    17 & 0.047619  & 0.809524  &  4.7619  &  80.9524  \\
     7 &     2 &    19 & 0.0952381 & 0.904762  &  9.52381 &  90.4762  \\
     8 &     1 &    20 & 0.047619  & 0.952381  &  4.7619  &  95.2381  \\
    12 &     1 &    21 & 0.047619  & 1         &  4.7619  & 100       \\
\hline
\end{tabular}","Se realiza una encuesta a un grupo de 21 personas acerca del número de veces que acuden al cine a lo largo de un año, obteniéndose los siguientes resultados:4 2 6 8 3 4 3 5 7 1 3 4 5 7 2 2 1 3 12 5 4",1BC,Autoevaluación de Estadística y Probabilidad,au0pe02,1,1,1,False,False
Realiza un diagrama de barras y un polígono de frecuencias,Realiza un diagrama de barras y un polígono de frecuencias,\\ \resizebox {0.5\textwidth}{!}{\includegraphics[width=1\columnwidth]{au0pe02}},"Se realiza una encuesta a un grupo de 21 personas acerca del número de veces que acuden al cine a lo largo de un año, obteniéndose los siguientes resultados:4 2 6 8 3 4 3 5 7 1 3 4 5 7 2 2 1 3 12 5 4",1BC,Autoevaluación de Estadística y Probabilidad,au0pe02,1,1,1,False,False
Calcular los parámetros de centralización,Calcular los parámetros de centralización,"{'media': 4.333333333333333, 'mediana': 4.0, 'moda': ModeResult(mode=array([3]), count=array([4]))}","Se realiza una encuesta a un grupo de 21 personas acerca del número de veces que acuden al cine a lo largo de un año, obteniéndose los siguientes resultados:4 2 6 8 3 4 3 5 7 1 3 4 5 7 2 2 1 3 12 5 4",1BC,Autoevaluación de Estadística y Probabilidad,au0pe02,1,1,1,False,False
"Calcular los parámetros de posición P70, Q1, Q3, D4","Calcular los parámetros de posición P70, Q1, Q3, D4","{'P70': 5.0, 'Q1': 3.0, 'Q3': 5.0, 'D4': 3.0}","Se realiza una encuesta a un grupo de 21 personas acerca del número de veces que acuden al cine a lo largo de un año, obteniéndose los siguientes resultados:4 2 6 8 3 4 3 5 7 1 3 4 5 7 2 2 1 3 12 5 4",1BC,Autoevaluación de Estadística y Probabilidad,au0pe02,1,1,1,False,False
Calcular los parámetros de dispersión,Calcular los parámetros de dispersión,"{'rango': 11, 'varianza': 6.507936507936508, 'desviación típica': 2.55106575923407, 'coeficiente variación': 0.588707482900170}","Se realiza una encuesta a un grupo de 21 personas acerca del número de veces que acuden al cine a lo largo de un año, obteniéndose los siguientes resultados:4 2 6 8 3 4 3 5 7 1 3 4 5 7 2 2 1 3 12 5 4",1BC,Autoevaluación de Estadística y Probabilidad,au0pe02,1,1,1,False,False
Haz una tabla de frecuencias,Haz una tabla de frecuencias,"\begin{tabular}{rrrrrrrrrr}
\hline
    &   lim\_inf &   lim\_sup &   x\_i &   f\_i &   F\_i &       h\_i &         H\_i &   x\_if\_i &   x\^{}2\_if\_i \\
\hline
  0 &        15 &        23 &    19 &     3 &     3 & 0.04      &   0.04      &       57 &       1083 \\
  1 &        23 &        31 &    27 &     4 &     7 & 0.0533333 &   0.0933333 &      108 &       2916 \\
  2 &        31 &        39 &    35 &     5 &    12 & 0.0666667 &   0.16      &      175 &       6125 \\
  3 &        39 &        47 &    43 &     8 &    20 & 0.106667  &   0.266667  &      344 &      14792 \\
  4 &        47 &        55 &    51 &    10 &    30 & 0.133333  &   0.4       &      510 &      26010 \\
  5 &        55 &        63 &    59 &    12 &    42 & 0.16      &   0.56      &      708 &      41772 \\
  6 &        63 &        71 &    67 &    15 &    57 & 0.2       &   0.76      &     1005 &      67335 \\
  7 &        71 &        79 &    75 &    12 &    69 & 0.16      &   0.92      &      900 &      67500 \\
  8 &        79 &        87 &    83 &     6 &    75 & 0.08      &   1         &      498 &      41334 \\
  9 &       nan &       nan &   nan &    75 &   nan & 1         & nan         &     4305 &     268867 \\
\hline
\end{tabular}","En una consulta médica la distribución de pacientes por su edad ha sido, en la última semana, la siguiente:\\\begin{tabular}{rlr}
\hline
    & Duración              &   Cantidad \\
\hline
  0 & $\left[15, 23\right)$ &          3 \\
  1 & $\left[23, 31\right)$ &          4 \\
  2 & $\left[31, 39\right)$ &          5 \\
  3 & $\left[39, 47\right)$ &          8 \\
  4 & $\left[47, 55\right)$ &         10 \\
  5 & $\left[55, 63\right)$ &         12 \\
  6 & $\left[63, 71\right)$ &         15 \\
  7 & $\left[71, 79\right)$ &         12 \\
  8 & $\left[79, 87\right)$ &          6 \\
\hline
\end{tabular}",1BC,Autoevaluación de Estadística y Probabilidad,au2p090e07,1,1,1,False,False
"Calcula media, la varianza, la desviación típica y el coeficiente de variación","Calcula media, la varianza, la desviación típica y el coeficiente de variación","{'media': 57.4, 'varianza': 290.13333333333367, 'desviación típica': 17.0333007175161, 'coeficiente de variación': 0.296747399259862}","En una consulta médica la distribución de pacientes por su edad ha sido, en la última semana, la siguiente:\\\begin{tabular}{rlr}
\hline
    & Duración              &   Cantidad \\
\hline
  0 & $\left[15, 23\right)$ &          3 \\
  1 & $\left[23, 31\right)$ &          4 \\
  2 & $\left[31, 39\right)$ &          5 \\
  3 & $\left[39, 47\right)$ &          8 \\
  4 & $\left[47, 55\right)$ &         10 \\
  5 & $\left[55, 63\right)$ &         12 \\
  6 & $\left[63, 71\right)$ &         15 \\
  7 & $\left[71, 79\right)$ &         12 \\
  8 & $\left[79, 87\right)$ &          6 \\
\hline
\end{tabular}",1BC,Autoevaluación de Estadística y Probabilidad,au2p090e07,1,1,1,False,False
La edad mas frecuente de los pacientes,La edad mas frecuente de los pacientes,"{'Intervalo modal': '$\\left[63.0, 71.0\\right)$', 'moda': 67.0}","En una consulta médica la distribución de pacientes por su edad ha sido, en la última semana, la siguiente:\\\begin{tabular}{rlr}
\hline
    & Duración              &   Cantidad \\
\hline
  0 & $\left[15, 23\right)$ &          3 \\
  1 & $\left[23, 31\right)$ &          4 \\
  2 & $\left[31, 39\right)$ &          5 \\
  3 & $\left[39, 47\right)$ &          8 \\
  4 & $\left[47, 55\right)$ &         10 \\
  5 & $\left[55, 63\right)$ &         12 \\
  6 & $\left[63, 71\right)$ &         15 \\
  7 & $\left[71, 79\right)$ &         12 \\
  8 & $\left[79, 87\right)$ &          6 \\
\hline
\end{tabular}",1BC,Autoevaluación de Estadística y Probabilidad,au2p090e07,1,1,1,False,False
El percentil 47,El percentil 47,"{'k': 47, 'N': 75.0, '$L_i$': 55.0, '$f_i$': 12.0, '$F_{i-1}$': 30.0, '$C_i$': 8.0, 'percentil': 58.5}","En una consulta médica la distribución de pacientes por su edad ha sido, en la última semana, la siguiente:\\\begin{tabular}{rlr}
\hline
    & Duración              &   Cantidad \\
\hline
  0 & $\left[15, 23\right)$ &          3 \\
  1 & $\left[23, 31\right)$ &          4 \\
  2 & $\left[31, 39\right)$ &          5 \\
  3 & $\left[39, 47\right)$ &          8 \\
  4 & $\left[47, 55\right)$ &         10 \\
  5 & $\left[55, 63\right)$ &         12 \\
  6 & $\left[63, 71\right)$ &         15 \\
  7 & $\left[71, 79\right)$ &         12 \\
  8 & $\left[79, 87\right)$ &          6 \\
\hline
\end{tabular}",1BC,Autoevaluación de Estadística y Probabilidad,au2p090e07,1,1,1,False,False
¿Qué porcentaje de pacientes tenían una edad superior a 60 años?,¿Qué porcentaje de pacientes tenían una edad superior a 60 años?,"{'valor': 60, 'N': 75.0, '$L_i$': 55.0, '$f_i$': 12.0, '$F_{i-1}$': 30.0, '$C_i$': 8.0, 'Porcentaje': 50.0000000000000}","En una consulta médica la distribución de pacientes por su edad ha sido, en la última semana, la siguiente:\\\begin{tabular}{rlr}
\hline
    & Duración              &   Cantidad \\
\hline
  0 & $\left[15, 23\right)$ &          3 \\
  1 & $\left[23, 31\right)$ &          4 \\
  2 & $\left[31, 39\right)$ &          5 \\
  3 & $\left[39, 47\right)$ &          8 \\
  4 & $\left[47, 55\right)$ &         10 \\
  5 & $\left[55, 63\right)$ &         12 \\
  6 & $\left[63, 71\right)$ &         15 \\
  7 & $\left[71, 79\right)$ &         12 \\
  8 & $\left[79, 87\right)$ &          6 \\
\hline
\end{tabular}",1BC,Autoevaluación de Estadística y Probabilidad,au2p090e07,1,1,1,False,False
