enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
45º,45,\frac{\pi}{4},"Expresa en radianes los siguientes ángulos, dados en grados:",1BC,23 - Trigonometría,p039e01,1,3,1,False,True
75º,75,\frac{5 \pi}{12},"Expresa en radianes los siguientes ángulos, dados en grados:",1BC,23 - Trigonometría,p039e01,1,3,1,False,True
105º,105,\frac{7 \pi}{12},"Expresa en radianes los siguientes ángulos, dados en grados:",1BC,23 - Trigonometría,p039e01,1,3,1,False,True
230º,230,\frac{23 \pi}{18},"Expresa en radianes los siguientes ángulos, dados en grados:",1BC,23 - Trigonometría,p039e01,1,3,1,False,True
\frac{{3\pi }}{4},(3*pi)/4,135,Expresa en grados los siguientes ángulos dados en radianes:,1BC,23 - Trigonometría,p039e02,1,3,1,True,True
\frac{{{5}\pi }}{{3}},(5*pi)/3,300,Expresa en grados los siguientes ángulos dados en radianes:,1BC,23 - Trigonometría,p039e02,1,3,1,True,True
\frac{{{{3}}\pi }}{{{2}}},(3*pi)/2,270,Expresa en grados los siguientes ángulos dados en radianes:,1BC,23 - Trigonometría,p039e02,1,3,1,True,True
\frac{{{{9}}\pi }}{{{2}}},(9*pi)/2,810,Expresa en grados los siguientes ángulos dados en radianes:,1BC,23 - Trigonometría,p039e02,1,3,1,True,True
\frac{{{{4}}\pi }}{{{3}}},(4*pi)/3,240,Expresa en grados los siguientes ángulos dados en radianes:,1BC,23 - Trigonometría,p039e02,1,3,1,True,True
\sec^2\alpha+\csc^2\alpha={\sec^2\alpha}\cdot{\csc^2\alpha},"Eq(csc(alpha)**2 + sec(alpha)**2, csc(alpha)**2*sec(alpha)**2)","\left [ \frac{8}{- \cos{\left (4 \alpha \right )} + 1}, \quad \frac{8}{- \cos{\left (4 \alpha \right )} + 1}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\frac{\tan\alpha+\tan\beta}{\cot\alpha+\cot\beta}={\tan\alpha} \cdot {\tan\beta},"Eq((tan(alpha) + tan(beta))/(cot(alpha) + cot(beta)), tan(alpha)*tan(beta))","\left [ \tan{\left (\alpha \right )} \tan{\left (\beta \right )}, \quad \tan{\left (\alpha \right )} \tan{\left (\beta \right )}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\frac{{\sin\alpha}\cdot{\cos\alpha}}{{\cos^2\alpha}-{\sin^2\alpha}}=\frac{\tan\alpha}{1-{\tan^2\alpha}},"Eq((sin(alpha)*cos(alpha))/(-sin(alpha)**2 + cos(alpha)**2), tan(alpha)/(-tan(alpha)**2 + 1))","\left [ \frac{\tan{\left (2 \alpha \right )}}{2}, \quad \frac{\tan{\left (2 \alpha \right )}}{2}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\cot\alpha-\frac{{\cot^2\alpha}-1}{\cot\alpha}=\tan\alpha,"Eq(-(cot(alpha)**2 - 1)/cot(alpha) + cot(alpha), tan(alpha))","\left [ \tan{\left (\alpha \right )}, \quad \tan{\left (\alpha \right )}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\frac{\sin\alpha+ \cot \alpha}{\tan\alpha+ \csc \alpha}=\cos\alpha,"Eq((sin(alpha) + cot(alpha))/(tan(alpha) + csc(alpha)), cos(alpha))","\left [ \cos{\left (\alpha \right )}, \quad \cos{\left (\alpha \right )}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\cot^2\alpha-\cos^2\alpha={\cot^2\alpha}\cdot{\cos^2\alpha},"Eq(-cos(alpha)**2 + cot(alpha)**2, cos(alpha)**2*cot(alpha)**2)","\left [ - \cos^{2}{\left (\alpha \right )} + \cot^{2}{\left (\alpha \right )}, \quad \cos^{2}{\left (\alpha \right )} \cot^{2}{\left (\alpha \right )}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\sin\alpha\cos\alpha\tan\alpha\cot\alpha\sec\alpha\csc\alpha=1,"Eq(((((csc(alpha)*sec(alpha))*cot(alpha))*tan(alpha))*cos(alpha))*sin(alpha), 1)","\left [ 1, \quad 1\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\frac{1+\tan\alpha}{1-\tan\alpha}=\frac{\cos\alpha+\sin\alpha}{\cos\alpha-\sin\alpha},"Eq((tan(alpha) + 1)/(-tan(alpha) + 1), (sin(alpha) + cos(alpha))/(-sin(alpha) + cos(alpha)))","\left [ \frac{\tan{\left (\alpha \right )} + 1}{- \tan{\left (\alpha \right )} + 1}, \quad \tan{\left (\alpha + \frac{\pi}{4} \right )}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
\frac{1+\tan^2\alpha}{\cot\alpha}=\frac{\tan\alpha}{\cos^2\alpha},"Eq((tan(alpha)**2 + 1)/cot(alpha), tan(alpha)/cos(alpha)**2)","\left [ \frac{\tan{\left (\alpha \right )}}{\cos^{2}{\left (\alpha \right )}}, \quad \frac{\tan{\left (\alpha \right )}}{\cos^{2}{\left (\alpha \right )}}\right ] \to \mathrm{True}",Demostrar si son verdaderas o falsas las siguientes ecuaciones:,1BC,23 - Trigonometría,p039e05y6,1,1,1,True,True
{\sin\alpha}\cdot{\frac{1}{\tan\alpha}},sin(alpha)/tan(alpha),\cos{\left (\alpha \right )},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\sin^3\alpha+{\sin\alpha}\cdot{\cos^2\alpha},sin(alpha)**3 + sin(alpha)*cos(alpha)**2,\sin{\left (\alpha \right )},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\sqrt{(1-\sin\alpha)\cdot(1+\sin\alpha)},sqrt((-sin(alpha) + 1)*(sin(alpha) + 1)),\sqrt{\cos^{2}{\left (\alpha \right )}},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\sin^4\alpha-\cos^4\alpha,sin(alpha)**4 - cos(alpha)**4,- \cos{\left (2 \alpha \right )},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\cos^3\alpha+{\cos^2\alpha}\cdot{\sin\alpha}+{\cos\alpha}\cdot{\sin^2\alpha}+{\sin^3\alpha},sin(alpha)*cos(alpha)**2 + cos(alpha)**3 + sin(alpha)**2*cos(alpha) + sin(alpha)**3,\sqrt{2} \sin{\left (\alpha + \frac{\pi}{4} \right )},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
{\sin\alpha}\cdot{\cos\alpha}\cdot(\tan\alpha+\frac{1}{\tan\alpha}),(sin(alpha)*cos(alpha))*(tan(alpha) + 1/tan(alpha)),1,Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\frac{\cos^2\alpha-\sin^2\alpha}{\cos^4\alpha-\sin^4\alpha},(-sin(alpha)**2 + cos(alpha)**2)/(-sin(alpha)**4 + cos(alpha)**4),1,Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\frac{\sec^2\alpha+\cos^2\alpha}{\sec^2\alpha-\cos^2\alpha},(cos(alpha)**2 + sec(alpha)**2)/(-cos(alpha)**2 + sec(alpha)**2),\frac{\left(- \cos^{2}{\left (\alpha \right )} + 1\right)^{2} + 2 \cos^{2}{\left (\alpha \right )}}{- \cos^{4}{\left (\alpha \right )} + 1},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\frac{\cos^2\alpha}{1-\sin\alpha},cos(alpha)**2/(-sin(alpha) + 1),\sin{\left (\alpha \right )} + 1,Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\frac{\csc\alpha}{1+\cot^2\alpha},csc(alpha)/(cot(alpha)**2 + 1),\sin{\left (\alpha \right )},Simplificar las siguientes expresiones:,1BC,23 - Trigonometría,p039e07,1,1,1,True,True
\cos\alpha=\frac{4}{5} \land \alpha \in I,"['36.86989764584401', '3/5', '4/5', '3/4']","\left [ 36.86989764584401, \quad \frac{3}{5}, \quad \frac{4}{5}, \quad \frac{3}{4}\right ]","Calcular las restantes razones trigonométricas de $\alpha$, conocida:",1BC,23 - Trigonometría,p039e08,1,1,1,True,True
\sin\alpha=\frac{3}{5} \land \alpha \in II,"['36.86989764584402', '3/5', '-4/5', '-3/4']","\left [ 36.86989764584402, \quad \frac{3}{5}, \quad - \frac{4}{5}, \quad - \frac{3}{4}\right ]","Calcular las restantes razones trigonométricas de $\alpha$, conocida:",1BC,23 - Trigonometría,p039e08,1,1,1,True,True
\tan\alpha=-\frac{3}{4} \land \alpha \in II,"['36.86989764584402', '3/5', '-4/5', '-3/4']","\left [ 36.86989764584402, \quad \frac{3}{5}, \quad - \frac{4}{5}, \quad - \frac{3}{4}\right ]","Calcular las restantes razones trigonométricas de $\alpha$, conocida:",1BC,23 - Trigonometría,p039e08,1,1,1,True,True
