enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
Realiza una tabla de frecuencias,Realiza una tabla de frecuencias,"\begin{tabular}{rrrrrrr}
\hline
   x\_i &   f\_i &   F\_i &       h\_i &       H\_i &      \%\_i &      \%A\_i \\
\hline
     0 &     1 &     1 & 0.0294118 & 0.0294118 &  2.94118 &   2.94118 \\
     1 &     2 &     3 & 0.0588235 & 0.0882353 &  5.88235 &   8.82353 \\
     2 &     3 &     6 & 0.0882353 & 0.176471  &  8.82353 &  17.6471  \\
     3 &     2 &     8 & 0.0588235 & 0.235294  &  5.88235 &  23.5294  \\
     4 &     3 &    11 & 0.0882353 & 0.323529  &  8.82353 &  32.3529  \\
     5 &     6 &    17 & 0.176471  & 0.5       & 17.6471  &  50       \\
     6 &     5 &    22 & 0.147059  & 0.647059  & 14.7059  &  64.7059  \\
     7 &     6 &    28 & 0.176471  & 0.823529  & 17.6471  &  82.3529  \\
     8 &     3 &    31 & 0.0882353 & 0.911765  &  8.82353 &  91.1765  \\
     9 &     2 &    33 & 0.0588235 & 0.970588  &  5.88235 &  97.0588  \\
    10 &     1 &    34 & 0.0294118 & 1         &  2.94118 & 100       \\
\hline
\end{tabular}",Las calificaciones de un grupo de 34 alumnos han sido: 9 6 5 0 1 5 7 9 10 7 5 1 2 5 7 6 3 4 6 8 8 6 4 4 6 5 3 5 7 7 8 7 2 2,1BC,41 - Estadística Unidimensional,p089e01,1,1,1,False,False
Realiza un diagrama de barras y un polígono de frecuencias,Realiza un diagrama de barras y un polígono de frecuencias,\\ \includegraphics[width=1\columnwidth]{p089e01},Las calificaciones de un grupo de 34 alumnos han sido: 9 6 5 0 1 5 7 9 10 7 5 1 2 5 7 6 3 4 6 8 8 6 4 4 6 5 3 5 7 7 8 7 2 2,1BC,41 - Estadística Unidimensional,p089e01,1,1,1,False,False
Calcular los parámetros de centralización,Calcular los parámetros de centralización,"{'media': 5.294117647058823, 'mediana': 5.5, 'moda': ModeResult(mode=array([5]), count=array([6]))}",Las calificaciones de un grupo de 34 alumnos han sido: 9 6 5 0 1 5 7 9 10 7 5 1 2 5 7 6 3 4 6 8 8 6 4 4 6 5 3 5 7 7 8 7 2 2,1BC,41 - Estadística Unidimensional,p089e01,1,1,1,False,False
"Calcular los parámetros de posición P70, Q1, Q3, D4","Calcular los parámetros de posición P70, Q1, Q3, D4","{'P70': 7.0, 'Q1': 4.0, 'Q3': 7.0, 'D4': 5.0}",Las calificaciones de un grupo de 34 alumnos han sido: 9 6 5 0 1 5 7 9 10 7 5 1 2 5 7 6 3 4 6 8 8 6 4 4 6 5 3 5 7 7 8 7 2 2,1BC,41 - Estadística Unidimensional,p089e01,1,1,1,False,False
Calcular los parámetros de dispersión,Calcular los parámetros de dispersión,"{'rango': 10, 'varianza': 6.031141868512111, 'desviación típica': 2.45583832295860, 'coeficiente variación': 0.463880572114402}",Las calificaciones de un grupo de 34 alumnos han sido: 9 6 5 0 1 5 7 9 10 7 5 1 2 5 7 6 3 4 6 8 8 6 4 4 6 5 3 5 7 7 8 7 2 2,1BC,41 - Estadística Unidimensional,p089e01,1,1,1,False,False
Realiza una tabla de frecuencias,Realiza una tabla de frecuencias,"\begin{tabular}{rrrrrrr}
\hline
   x\_i &   f\_i &   F\_i &       h\_i &       H\_i &      \%\_i &      \%A\_i \\
\hline
    10 &     2 &     2 & 0.0833333 & 0.0833333 &  8.33333 &   8.33333 \\
    11 &     4 &     6 & 0.166667  & 0.25      & 16.6667  &  25       \\
    12 &     3 &     9 & 0.125     & 0.375     & 12.5     &  37.5     \\
    13 &     2 &    11 & 0.0833333 & 0.458333  &  8.33333 &  45.8333  \\
    14 &     3 &    14 & 0.125     & 0.583333  & 12.5     &  58.3333  \\
    15 &     2 &    16 & 0.0833333 & 0.666667  &  8.33333 &  66.6667  \\
    16 &     4 &    20 & 0.166667  & 0.833333  & 16.6667  &  83.3333  \\
    17 &     2 &    22 & 0.0833333 & 0.916667  &  8.33333 &  91.6667  \\
    18 &     2 &    24 & 0.0833333 & 1         &  8.33333 & 100       \\
\hline
\end{tabular}","Estos datos reflejan el tiempo, en minutos, que tardan en llegar a su centro escolar varios alumnos. 10 15 11 11 14 14 11 14 17 11 17 15 10 16 12 12 13 16 13 16 18 12 18 16",1BC,41 - Estadística Unidimensional,p089e03,1,1,1,False,False
Realiza un diagrama de barras y un polígono de frecuencias,Realiza un diagrama de barras y un polígono de frecuencias,\\ \includegraphics[width=1\columnwidth]{p089e03},"Estos datos reflejan el tiempo, en minutos, que tardan en llegar a su centro escolar varios alumnos. 10 15 11 11 14 14 11 14 17 11 17 15 10 16 12 12 13 16 13 16 18 12 18 16",1BC,41 - Estadística Unidimensional,p089e03,1,1,1,False,False
Calcular los parámetros de centralización,Calcular los parámetros de centralización,"{'media': 13.833333333333334, 'mediana': 14.0, 'moda': ModeResult(mode=array([11]), count=array([4]))}","Estos datos reflejan el tiempo, en minutos, que tardan en llegar a su centro escolar varios alumnos. 10 15 11 11 14 14 11 14 17 11 17 15 10 16 12 12 13 16 13 16 18 12 18 16",1BC,41 - Estadística Unidimensional,p089e03,1,1,1,False,False
"Calcular los parámetros de posición P70, Q1, Q3, D4","Calcular los parámetros de posición P70, Q1, Q3, D4","{'P70': 16.0, 'Q1': 11.75, 'Q3': 16.0, 'D4': 13.0}","Estos datos reflejan el tiempo, en minutos, que tardan en llegar a su centro escolar varios alumnos. 10 15 11 11 14 14 11 14 17 11 17 15 10 16 12 12 13 16 13 16 18 12 18 16",1BC,41 - Estadística Unidimensional,p089e03,1,1,1,False,False
Calcular los parámetros de dispersión,Calcular los parámetros de dispersión,"{'rango': 8, 'varianza': 6.222222222222221, 'desviación típica': 2.49443825784929, 'coeficiente variación': 0.180320837916816}","Estos datos reflejan el tiempo, en minutos, que tardan en llegar a su centro escolar varios alumnos. 10 15 11 11 14 14 11 14 17 11 17 15 10 16 12 12 13 16 13 16 18 12 18 16",1BC,41 - Estadística Unidimensional,p089e03,1,1,1,False,False
Realiza una tabla de frecuencias,Realiza una tabla de frecuencias,"\begin{tabular}{rrrrrrr}
\hline
   x\_i &   f\_i &   F\_i &       h\_i &       H\_i &      \%\_i &      \%A\_i \\
\hline
   157 &     1 &     1 & 0.0333333 & 0.0333333 &  3.33333 &   3.33333 \\
   159 &     1 &     2 & 0.0333333 & 0.0666667 &  3.33333 &   6.66667 \\
   161 &     1 &     3 & 0.0333333 & 0.1       &  3.33333 &  10       \\
   162 &     2 &     5 & 0.0666667 & 0.166667  &  6.66667 &  16.6667  \\
   163 &     2 &     7 & 0.0666667 & 0.233333  &  6.66667 &  23.3333  \\
   164 &     1 &     8 & 0.0333333 & 0.266667  &  3.33333 &  26.6667  \\
   166 &     3 &    11 & 0.1       & 0.366667  & 10       &  36.6667  \\
   167 &     3 &    14 & 0.1       & 0.466667  & 10       &  46.6667  \\
   168 &     3 &    17 & 0.1       & 0.566667  & 10       &  56.6667  \\
   169 &     1 &    18 & 0.0333333 & 0.6       &  3.33333 &  60       \\
   170 &     1 &    19 & 0.0333333 & 0.633333  &  3.33333 &  63.3333  \\
   171 &     1 &    20 & 0.0333333 & 0.666667  &  3.33333 &  66.6667  \\
   172 &     2 &    22 & 0.0666667 & 0.733333  &  6.66667 &  73.3333  \\
   173 &     2 &    24 & 0.0666667 & 0.8       &  6.66667 &  80       \\
   174 &     2 &    26 & 0.0666667 & 0.866667  &  6.66667 &  86.6667  \\
   176 &     2 &    28 & 0.0666667 & 0.933333  &  6.66667 &  93.3333  \\
   177 &     1 &    29 & 0.0333333 & 0.966667  &  3.33333 &  96.6667  \\
   184 &     1 &    30 & 0.0333333 & 1         &  3.33333 & 100       \\
\hline
\end{tabular}","La altura en cm de 30 alumnos de un curso son:174 157 168 166 169 168 173 184 176 171 172 168 
                  167 162 162 163 166 166 167 167 
                  174 159 170 172 173 164 161 163 176 177",1BC,41 - Estadística Unidimensional,p089e04,1,1,1,False,False
Realiza un diagrama de barras y un polígono de frecuencias,Realiza un diagrama de barras y un polígono de frecuencias,\\ \includegraphics[width=1\columnwidth]{p089e04},"La altura en cm de 30 alumnos de un curso son:174 157 168 166 169 168 173 184 176 171 172 168 
                  167 162 162 163 166 166 167 167 
                  174 159 170 172 173 164 161 163 176 177",1BC,41 - Estadística Unidimensional,p089e04,1,1,1,False,False
Calcular los parámetros de centralización,Calcular los parámetros de centralización,"{'media': 168.5, 'mediana': 168.0, 'moda': ModeResult(mode=array([166]), count=array([3]))}","La altura en cm de 30 alumnos de un curso son:174 157 168 166 169 168 173 184 176 171 172 168 
                  167 162 162 163 166 166 167 167 
                  174 159 170 172 173 164 161 163 176 177",1BC,41 - Estadística Unidimensional,p089e04,1,1,1,False,False
"Calcular los parámetros de posición P70, Q1, Q3, D4","Calcular los parámetros de posición P70, Q1, Q3, D4","{'P70': 172.0, 'Q1': 164.5, 'Q3': 172.75, 'D4': 167.0}","La altura en cm de 30 alumnos de un curso son:174 157 168 166 169 168 173 184 176 171 172 168 
                  167 162 162 163 166 166 167 167 
                  174 159 170 172 173 164 161 163 176 177",1BC,41 - Estadística Unidimensional,p089e04,1,1,1,False,False
