enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos
x^{2} + 6 = 0,"Eq(x**2 + 6, 0)",\emptyset,Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
x^{2} - 9 = 0,"Eq(x**2 - 9, 0)","\left\{-3, 3\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
x^{2} + 3 x = 0,"Eq(x**2 + 3*x, 0)","\left\{-3, 0\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
3 x^{2} - 11 x = 0,"Eq(3*x**2 - 11*x, 0)","\left\{0, \frac{11}{3}\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
4 x^{2} - 32 x = 0,"Eq(4*x**2 - 32*x, 0)","\left\{0, 8\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
5 x^{2} = 0,"Eq(5*x**2, 0)",\left\{0\right\},Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
12 x^{2} - 18 = 0,"Eq(12*x**2 - 18, 0)","\left\{- \frac{\sqrt{6}}{2}, \frac{\sqrt{6}}{2}\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
3 \left(- x + 1\right) \left(x + 1\right) = 3,"Eq(3*((-x + 1)*(x + 1)), 3)",\left\{0\right\},Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
3 \left(x^{2} - 2\right) = 21,"Eq(3*(x**2 - 2), 21)","\left\{-3, 3\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e01,1,2,1
\left(2 x^{2} + 11 x\right) - 6 = 0,"Eq(2*x**2 + 11*x - 6, 0)","\left\{-6, \frac{1}{2}\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
\left(x^{2} - 10 x\right) + 25 = 0,"Eq(x**2 - 10*x + 25, 0)",\left\{5\right\},Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
\left(x^{2} + x\right) + 1 = 0,"Eq(x**2 + x + 1, 0)",\emptyset,Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
\left(x^{2} - 2 x\right) - 1 = 0,"Eq(x**2 - 2*x - 1, 0)","\left\{1 + \sqrt{2}, - \sqrt{2} + 1\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
\left(3 x^{2} + 5 x\right) - 2 = 0,"Eq(3*x**2 + 5*x - 2, 0)","\left\{-2, \frac{1}{3}\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
\left(4 x^{2} - 4 x\right) + 1 = 0,"Eq(4*x**2 - 4*x + 1, 0)",\left\{\frac{1}{2}\right\},Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
\left(2 x^{2} - 9 x\right) + 11 = 0,"Eq(2*x**2 - 9*x + 11, 0)",\emptyset,Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e02,1,2,1
- x \left(x - 2\right) + 9 = 4 x + 6,"Eq(-x*(x - 2) + 9, 4*x + 6)","\left\{-3, 1\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
- \left(x - 1\right) \left(x + 4\right) + 2 \left(x^{2} - 3\right) = x - 2,"Eq(-(x - 1)*(x + 4) + 2*(x**2 - 3), x - 2)","\left\{0, 4\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
x \left(x - 1\right) - 2 \left(x - 3\right) \left(x - 2\right) = 2,"Eq(x*(x - 1) - 2*(x - 3)*(x - 2), 2)","\left\{2, 7\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
\left(2 x^{2} - 11 x\right) + 12 = 0,"Eq(2*x**2 - 11*x + 12, 0)","\left\{\frac{3}{2}, 4\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
3 \left(x - 1\right) \left(x + 2\right) = 0,"Eq(3*((x - 1)*(x + 2)), 0)","\left\{-2, 1\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
\left(x - 2\right)^{2} = 3,"Eq((x - 2)**2, 3)","\left\{- \sqrt{3} + 2, \sqrt{3} + 2\right\}",Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
21 x - 100 = - x + \left(x^{2} + 21\right),"Eq(21*x - 100, -x + x**2 + 21)",\left\{11\right\},Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
\frac{x}{3} \left(x - \frac{1}{6}\right) = x - 1,"Eq((x/3)*(x - 1/6), x - 1)",\emptyset,Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
\left(- \frac{x}{3} + \frac{1}{3}\right) + \frac{2 x^{2} + 1}{2} = \frac{- x + 1}{6},"Eq(-x/3 + 1/3 + (2*x**2 + 1)/2, (-x + 1)/6)",\emptyset,Resuelve las ecuaciones:,1BC,6 - Ecuaciones de segundo grado,p016e03,1,2,1
