enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
"A=\left\{ x \in \mathbb{R}| -4 \leq x \wedge x \leq 0 \right\}, \\ B=\left(-\infty, -1\right) \cup \left(1, \infty\right)  y \\  C=\left\{ x \in \mathbb{R}| \left|{x - 2}\right|\leq3 \right\} \\","[Interval(-4, 0), Union(Interval.open(-oo, -1), Interval.open(1, oo)), ['Abs(x - 2)', '<=', '3']]","C=\left[-1, 5\right] \ \ A \cup  B = \left(-\infty, 0\right] \cup \left(1, \infty\right)  \\  A \cap B= \left[-4, -1\right)   \\  (A \cup B) \cap C= \left[-1, 0\right] \cup \left(1, 5\right]","Dados los siguientes conjuntos A, B y C, represéntalos en la recta real. A continuación, calcula $A \cup  B$ , $A \cap B$ y $(A \cup B) \cap C$ , 
y expresa los resultados en forma de Intervalos. 
Indica además, si existe, el máximo y el mínimo de cada uno de los conjuntos resultado.",1BC,Final 1ª Ev.,ex02e01,1,3,1,True,True
"A=\left\{ x \in \mathbb{R}| 3 \leq x \wedge x < 10 \right\}, \\ B=\left(-\infty, 1\right) \cup \left(3, \infty\right)  y \\  C=\left\{ x \in \mathbb{R}| \left|{x - 2}\right|\geq8 \right\} \\","[Interval.Ropen(3, 10), Union(Interval.open(-oo, 1), Interval.open(3, oo)), ['Abs(x - 2)', '>=', '8']]","C=\left(-\infty, -6\right] \cup \left[10, \infty\right) \ \ A \cup  B = \left(-\infty, 1\right) \cup \left[3, \infty\right)  \\  A \cap B= \left(3, 10\right)   \\  (A \cup B) \cap C= \left(-\infty, -6\right] \cup \left[10, \infty\right)","Dados los siguientes conjuntos A, B y C, represéntalos en la recta real. A continuación, calcula $A \cup  B$ , $A \cap B$ y $(A \cup B) \cap C$ , 
y expresa los resultados en forma de Intervalos. 
Indica además, si existe, el máximo y el mínimo de cada uno de los conjuntos resultado.",1BC,Final 1ª Ev.,ex02e01,1,3,1,True,True
"A=\left\{ x \in \mathbb{R}| 6 \leq x \wedge x < 8 \right\}, \\ B=\left(-\infty, -3\right) \cup \left(3, \infty\right)  y \\  C=\left\{ x \in \mathbb{R}| \left|{x - 3}\right|\leq12 \right\} \\","[Interval.Ropen(6, 8), Union(Interval.open(-oo, -3), Interval.open(3, oo)), ['Abs(x - 3)', '<=', '12']]","C=\left[-9, 15\right] \ \ A \cup  B = \left(-\infty, -3\right) \cup \left(3, \infty\right)  \\  A \cap B= \left[6, 8\right)   \\  (A \cup B) \cap C= \left[-9, -3\right) \cup \left(3, 15\right]","Dados los siguientes conjuntos A, B y C, represéntalos en la recta real. A continuación, calcula $A \cup  B$ , $A \cap B$ y $(A \cup B) \cap C$ , 
y expresa los resultados en forma de Intervalos. 
Indica además, si existe, el máximo y el mínimo de cada uno de los conjuntos resultado.",1BC,Final 1ª Ev.,ex02e01,1,3,1,True,True
\frac{16\cdot\sqrt[3]{4}( {\sqrt {2} } )^3}{\sqrt{2\sqrt [3] {4} } },(16*(2**(2/3)*(sqrt(2))**3))/((2**(1/3)*sqrt(2))),32 \sqrt[3]{2},Calcular:,1BC,Final 1ª Ev.,ex02e02,1,3,1,True,True
\frac{{3\sqrt{ 2 } - 2\sqrt {3} }}{{3\sqrt {2}  + 2\sqrt {3} }} - \frac{3}{{2\sqrt {6 }}},-sqrt(6)/4 + (-2*sqrt(3) + 3*sqrt(2))/(2*sqrt(3) + 3*sqrt(2)),\frac{- 7 \sqrt{3} + 3 \sqrt{2}}{2 \left(2 \sqrt{3} + 3 \sqrt{2}\right)},Calcular:,1BC,Final 1ª Ev.,ex02e02,1,3,1,True,True
{( {\sqrt {7}  + \sqrt {3} } )^2}\cdot( {5 - \sqrt {21} }),(-sqrt(21) + 5)*(sqrt(3) + sqrt(7))**2,8,Calcular:,1BC,Final 1ª Ev.,ex02e02,1,3,1,True,True
Halla tres números naturales e impares consecutivos sabiendo que su producto menos su suma vale 6.,6*x - (2*x - 1)*(2*x + 1)*(2*x + 3) + 9,6 x - \left(2 x - 1\right) \left(2 x + 1\right) \left(2 x + 3\right) + 9 = 0\to \left\{1\right\},Resuelve mediante expresiones algebraicas:,1BC,Final 1ª Ev.,ex02e03,1,3,1,False,True
\frac{{7 - x}}{{x + 4}} - \frac{3}{{x - 5}} = \frac{{26x - 25}}{{{x^2} - x - 20}} + \frac{1}{3},"Eq((-x + 7)/(x + 4) - 3/(x - 5), (26*x - 25)/(x**2 - x - 20) + 1/3)","\left [ - \frac{23}{2}, \quad -1\right ]",Resuelve:,1BC,Final 1ª Ev.,ex02e04,1,3,1,True,True
\sqrt {x + 5}  - \sqrt {x - 1}  = 2,"Eq(-sqrt(x - 1) + sqrt(x + 5), 2)",\left [ \frac{5}{4}\right ],Resuelve:,1BC,Final 1ª Ev.,ex02e04,1,3,1,True,True
\left\{\begin{matrix}{2^x} + {2^y} = 24\\{2^x} \cdot {2^y} = 128\end{matrix}\right.,"[Eq(2**x + 2**y, 24), Eq(2**x*2**y, 128)]","\left [ \left \{ x : 3, \quad y : 4\right \}, \quad \left \{ x : 4, \quad y : 3\right \}\right ]",Resolver :,1BC,Final 1ª Ev.,ex02e05,1,3,1,True,True
