enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex
"A=\left\{ x \in \mathbb{R}| 6 \leq x \wedge x < 8 \right\}, \\ B=\left(-\infty, -3\right) \cup \left(3, \infty\right)  y \\  C=\left\{ x \in \mathbb{R}| \left|{x + 2}\right|\geq12 \right\} \\","[Interval.Ropen(6, 8), Union(Interval.open(-oo, -3), Interval.open(3, oo)), ['Abs(x + 2)', '>=', '12']]","C=\left(-\infty, -14\right] \cup \left[10, \infty\right) \ \ A \cup  B = \left(-\infty, -3\right) \cup \left(3, \infty\right)  \\  A \cap B= \left[6, 8\right)   \\  A \cap B  \cap C= \emptyset","Dados los siguientes conjuntos A, B y C, represéntalos en la recta real. A continuación, calcula $A \cup  B$ , $A \cap B$ y $A \cap B \cap C$ , 
y expresa los resultados en forma de Intervalos. 
Indica además, si existe, el supremo y el ínfimo de cada uno.de los conjuntos resultado.",1BC,Parcial 1,ex01e01,1,3,2,True
{\binom{23}{x}} = \binom{23}{3x-1},"Eq(binomial(23, x), binomial(23, 3*x - 1))",\left\{6\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{39}{5+2x}} = \binom{39}{2x-2},"Eq(binomial(39, 2*x + 5), binomial(39, 2*x - 2))",\left\{9\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{15}{x}} = \binom{15}{x+1},"Eq(binomial(15, x), binomial(15, x + 1))",\left\{7\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{x}{2}} = 21,"Eq(binomial(x, 2), 21)",\left\{7\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{x}{2}} = 28,"Eq(binomial(x, 2), 28)",\left\{8\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{x}{x - 2}} = 10,"Eq(binomial(x, x - 2), 10)",\left\{5\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{x}{x - 2}} = 28,"Eq(binomial(x, x - 2), 28)",\left\{8\right\},"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{11}{3}} = {\binom{12}{3}}-{\binom{11}{x}},"Eq(-x + 3, 1)",\left [ 2\right ],"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{33}{x}} = {\binom{33}{x+y}}-{\binom{34}{5}},"[Eq(y, 1), Eq(x + y, 5)]","\left \{ x : 4, \quad y : 1\right \}","Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
{\binom{20}{7}} - {\binom{19}{x}}-{\binom{19}{x+1}},"Eq(x + 1, 7)",\left [ 6\right ],"Usando la definición y las propiedades de los números combinatorios, resolver las ecuaciones:",1BC,Parcial 1,ex01e02,1,3,1,True
P(x)=\left(2 x - \frac{3}{x}\right)^{8} \  \ y \ parte \ literal \ \frac{1}{x^{6}},"((2*x - 3/x)**8, x**(-6))",-34992,"Calcula, sin hacer todo el desarrollo, el coeficiente del término asociado a:",1BC,Parcial 1,ex01e03,1,3,2,True
P(x)=\left(3 x^{2} + \frac{1}{x}\right)^{7} \  \ y \ parte \ literal \ x^{5},"((3*x**2 + 1/x)**7, x**5)",2835,"Calcula, sin hacer todo el desarrollo, el coeficiente del término asociado a:",1BC,Parcial 1,ex01e03,1,3,2,True
P(x)=\left(2 x - \frac{3}{x}\right)^{8} \  \ y \ parte \ literal \ \frac{1}{x^{8}},"((2*x - 3/x)**8, x**(-8))",6561,"Calcula, sin hacer todo el desarrollo, el coeficiente del término asociado a:",1BC,Parcial 1,ex01e03,1,3,2,True
P(x)=\left(3 x^{2} + \frac{1}{x}\right)^{7} \  \ y \ parte \ literal \ x^{8},"((3*x**2 + 1/x)**7, x**8)",5103,"Calcula, sin hacer todo el desarrollo, el coeficiente del término asociado a:",1BC,Parcial 1,ex01e03,1,3,2,True
