enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
"\overrightarrow{u}=(5, -3) \, \ \overrightarrow{v}=(6, -4)","['Point(5, -3).dot(Point(6, -4))', ['Point(5, -3).distance(Point(0,0))', 'Point(6, -4).distance(Point(0,0))'], 2.7263109939062122]","\left [ 42, \quad \left [ \sqrt{34}, \quad 2 \sqrt{13}\right ], \quad 2.72631099390621\right ]","Respecto de una base ortonormal tenemos dos vectores $\overrightarrow{u}$ y $\overrightarrow{v}$.
Calcular $\overrightarrow{u}\cdot\overrightarrow{v}$, $|\overrightarrow{u}| \ y \ |\overrightarrow{v}|$ 
y $\angle(\overrightarrow{u},\overrightarrow{v})$ siendo:",1BC,Parcial 2,ex11e01,2,1,2,True,True
"\overrightarrow{u}=(8, 2) \, \ \overrightarrow{v}=(-3, 4)","['Point(8, 2).dot(Point(-3, 4))', ['Point(8, 2).distance(Point(0,0))', 'Point(-3, 4).distance(Point(0,0))'], 112.83365417791755]","\left [ -16, \quad \left [ 2 \sqrt{17}, \quad 5\right ], \quad 112.833654177918\right ]","Respecto de una base ortonormal tenemos dos vectores $\overrightarrow{u}$ y $\overrightarrow{v}$.
Calcular $\overrightarrow{u}\cdot\overrightarrow{v}$, $|\overrightarrow{u}| \ y \ |\overrightarrow{v}|$ 
y $\angle(\overrightarrow{u},\overrightarrow{v})$ siendo:",1BC,Parcial 2,ex11e01,2,1,2,True,True
"\overrightarrow{u}=(-1, 1) \, \ \overrightarrow{v}=(-2, -3)","['Point(-1, 1).dot(Point(-2, -3))', ['Point(-1, 1).distance(Point(0,0))', 'Point(-2, -3).distance(Point(0,0))'], 101.30993247402021]","\left [ -1, \quad \left [ \sqrt{2}, \quad \sqrt{13}\right ], \quad 101.30993247402\right ]","Respecto de una base ortonormal tenemos dos vectores $\overrightarrow{u}$ y $\overrightarrow{v}$.
Calcular $\overrightarrow{u}\cdot\overrightarrow{v}$, $|\overrightarrow{u}| \ y \ |\overrightarrow{v}|$ 
y $\angle(\overrightarrow{u},\overrightarrow{v})$ siendo:",1BC,Parcial 2,ex11e01,2,1,2,True,True
"\overrightarrow{u}=(6, x) \, \ \overrightarrow{v}=(-1, 2)","Eq(sqrt(5)*(2*x - 6)/(5*sqrt(x**2 + 36)), 0)",\left [ 3\right ],"Calcula x para que los vectores
$\overrightarrow{u}$ y $\overrightarrow{v}$ sean ortogonales, siendo: ",1BC,Parcial 2,ex11e02,1,2,2,True,True
"\overrightarrow{u}=(5, x) \, \ \overrightarrow{v}=(3, 1)","Eq(sqrt(10)*(x + 15)/(10*sqrt(x**2 + 25)), 0)",\left [ -15\right ],"Calcula x para que los vectores
$\overrightarrow{u}$ y $\overrightarrow{v}$ sean ortogonales, siendo: ",1BC,Parcial 2,ex11e02,1,2,2,True,True
"\overrightarrow{u}=(1, 0) \, \ \overrightarrow{v}=(x, 5)","Eq(x/sqrt(x**2 + 25), 0)",\left [ 0\right ],"Calcula x para que los vectores
$\overrightarrow{u}$ y $\overrightarrow{v}$ sean ortogonales, siendo: ",1BC,Parcial 2,ex11e02,1,2,2,True,True
"\overrightarrow{v}=(2, 4)","[Eq(sqrt(5)*(2*x + 4*y)/(10*sqrt(x**2 + y**2)), 0), Eq(sqrt(x**2 + y**2), 1)]","\left [ \left \{ x : - \frac{2 \sqrt{5}}{5}, \quad y : \frac{\sqrt{5}}{5}\right \}, \quad \left \{ x : \frac{2 \sqrt{5}}{5}, \quad y : - \frac{\sqrt{5}}{5}\right \}\right ]",Halla las coordenadas de un vector unitario y perpendicular a: ,1BC,Parcial 2,ex11e03,1,2,2,True,True
"\overrightarrow{v}=(2, 3)","[Eq(sqrt(13)*(2*x + 3*y)/(13*sqrt(x**2 + y**2)), 0), Eq(sqrt(x**2 + y**2), 1)]","\left [ \left \{ x : - \frac{3 \sqrt{13}}{13}, \quad y : \frac{2 \sqrt{13}}{13}\right \}, \quad \left \{ x : \frac{3 \sqrt{13}}{13}, \quad y : - \frac{2 \sqrt{13}}{13}\right \}\right ]",Halla las coordenadas de un vector unitario y perpendicular a: ,1BC,Parcial 2,ex11e03,1,2,2,True,True
"\overrightarrow{v}=(1, 0)","[Eq(x/sqrt(x**2 + y**2), 0), Eq(sqrt(x**2 + y**2), 1)]","\left [ \left \{ x : 0, \quad y : -1\right \}, \quad \left \{ x : 0, \quad y : 1\right \}\right ]",Halla las coordenadas de un vector unitario y perpendicular a: ,1BC,Parcial 2,ex11e03,1,2,2,True,True
"\overrightarrow{v}=(3, -4)","[Eq((3*x - 4*y)/(5*sqrt(x**2 + y**2)), 0), Eq(sqrt(x**2 + y**2), 1)]","\left [ \left \{ x : - \frac{4}{5}, \quad y : - \frac{3}{5}\right \}, \quad \left \{ x : \frac{4}{5}, \quad y : \frac{3}{5}\right \}\right ]",Halla las coordenadas de un vector unitario y perpendicular a: ,1BC,Parcial 2,ex11e03,1,2,2,True,True
\cos\alpha,-4/5,- \frac{4}{5},"Si $\sin\alpha=-\frac{3}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04,1,1,1,True,True
\tan\alpha,3/4,\frac{3}{4},"Si $\sin\alpha=-\frac{3}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04,1,1,1,True,True
\cos(\pi+\alpha),3/5,\frac{3}{5},"Si $\sin\alpha=-\frac{3}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04,1,1,1,True,True
\sin(2\alpha),24/25,\frac{24}{25},"Si $\sin\alpha=-\frac{3}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04,1,1,1,True,True
\sin\alpha,-3/5,- \frac{3}{5},"Si $\cos\alpha=-\frac{4}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04b,1,1,1,True,True
\tan\alpha,3/4,\frac{3}{4},"Si $\cos\alpha=-\frac{4}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04b,1,1,1,True,True
\cos(\pi+\alpha),3/5,\frac{3}{5},"Si $\cos\alpha=-\frac{4}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04b,1,1,1,True,True
\sin(2\alpha),24/25,\frac{24}{25},"Si $\cos\alpha=-\frac{4}{5}\land \alpha \in III$, calcula (sin usar la calculadora, con identidades trigonométricas y reducción al primer cuadrante):",1BC,Parcial 2,ex11e04b,1,1,1,True,True
\sin{2x}-\sin{x}=0,"Eq(-sin(x) + sin(2*x), 0)","\left [ 0.0, \quad -180.0, \quad 180.0, \quad -300.0, \quad 300.0, \quad -60.0, \quad 60.0\right ]",Resolver las siguientes ecuaciones:,1BC,Parcial 2,ex11e05,1,1,3,True,True
\sin{x}+\cos{x}=\sqrt{2},"Eq(sin(x) + cos(x), sqrt(2))",\left [ 45.0\right ],Resolver las siguientes ecuaciones:,1BC,Parcial 2,ex11e05,1,1,3,True,True
\sin{2x}+\sin{x}=0,"Eq(sin(x) + sin(2*x), 0)","\left [ 0.0, \quad -180.0, \quad 180.0, \quad 360.0, \quad -240.0, \quad 240.0, \quad -120.0, \quad 120.0\right ]",Resolver las siguientes ecuaciones:,1BC,Parcial 2,ex11e05,1,1,3,True,True
\sin{2x}+\cos{x}=0,"Eq(sin(2*x) + cos(x), 0)","\left [ -90.0, \quad 90.0, \quad -150.0, \quad -30.0\right ]",Resolver las siguientes ecuaciones:,1BC,Parcial 2,ex11e05,1,1,3,True,True
\sin{x}-\cos{x}=-\sqrt{2},"Eq(sin(x) - cos(x), -sqrt(2))",\left [ -45.0\right ],Resolver las siguientes ecuaciones:,1BC,Parcial 2,ex11e05,1,1,3,True,True
"El lado a=10, y los ángulos B=30º, y C=120º","[3600, 18000.0]",25 \sqrt{3} \to 43.30127018922193,Calcular el área de un triángulo sabiendo que:,1BC,Parcial 2,ex11e06,1,4,3,False,True
"El lado a=20, y los ángulos B=30º, y C=105º","[3150, 31500.0]",5 \sqrt{2} \left(5 \sqrt{2} + 5 \sqrt{6}\right) \to 136.60254037844388,Calcular el área de un triángulo sabiendo que:,1BC,Parcial 2,ex11e06,1,4,3,False,True
"El lado a=8, y los ángulos B=30º, y C=105º","[3150, 12600.0]",2 \sqrt{2} \left(2 \sqrt{2} + 2 \sqrt{6}\right) \to 21.856406460551018,Calcular el área de un triángulo sabiendo que:,1BC,Parcial 2,ex11e06,1,4,3,False,True
