enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
"A=\left\{ x \in \mathbb{R}| \left|{x - 3}\right|>0 \right\} \\ B=\left(-\infty, -3\right) \cup \left(-3, 3\right] \\  C=\left\{ x \in \mathbb{R}| \left|{x - 3}\right|\leq12 \right\} \\","[['Abs(x - 3)', '>', '0'], Union(Interval.open(-oo, -3), Interval.Lopen(-3, 3)), ['Abs(x - 3)', '<=', '12']]","A=\left(-\infty, 3\right) \cup \left(3, \infty\right) \ C=\left[-9, 15\right] \   \\  A \cap B= \left(-\infty, -3\right) \cup \left(-3, 3\right)   \\  (A \cup B) \cap C= \left[-9, 15\right]","Dados los siguientes conjuntos A, B y C, represéntalos en la recta real. A continuación, calcula $A \cap B$ y $(A \cup B) \cap C$ , 
y expresa los resultados en forma de Intervalos. ",1BC,Recuperación 1ª Ev.,ex03e01,1,3,1,True,True
"A=\left\{ x \in \mathbb{R}| \left|{x - 3}\right|<10 \right\} \\ B=\left(-10, 5\right) \cup \left(5, \infty\right) \\  C=\left\{ x \in \mathbb{R}| \left|{x - 3}\right|\geq6 \right\} \\","[['Abs(x - 3)', '<', '10'], Union(Interval.open(-10, 5), Interval.open(5, oo)), ['Abs(x - 3)', '>=', '6']]","A=\left(-7, 13\right) \ C=\left(-\infty, -3\right] \cup \left[9, \infty\right) \   \\  A \cap B= \left(-7, 5\right) \cup \left(5, 13\right)   \\  (A \cup B) \cap C= \left(-10, -3\right] \cup \left[9, \infty\right)","Dados los siguientes conjuntos A, B y C, represéntalos en la recta real. A continuación, calcula $A \cap B$ y $(A \cup B) \cap C$ , 
y expresa los resultados en forma de Intervalos. ",1BC,Recuperación 1ª Ev.,ex03e01,1,3,1,True,True
P(x)=\left(2 x - \frac{3}{x}\right)^{8} \  \ y \ parte \ literal \ \frac{1}{x^{8}},"((2*x - 3/x)**8, x**(-8))",6561,"Calcula, sin hacer todo el desarrollo, el coeficiente del término asociado a:",1BC,Recuperación 1ª Ev.,ex03e01b,1,3,1,True,True
P(x)=\left(3 x^{2} + \frac{1}{x}\right)^{7} \  \ y \ parte \ literal \ \frac{1}{x^{7}},"((3*x**2 + 1/x)**7, x**(-7))",1,"Calcula, sin hacer todo el desarrollo, el coeficiente del término asociado a:",1BC,Recuperación 1ª Ev.,ex03e01b,1,3,1,True,True
\frac{{3\sqrt{ 2 } - 2\sqrt {3} }}{{3\sqrt {2}  + 2\sqrt {3} }} + \frac{12}{4{\sqrt {6 }}},(-2*sqrt(3) + 3*sqrt(2))/(2*sqrt(3) + 3*sqrt(2)) + 12/((4*sqrt(6))),- \frac{3 \sqrt{6}}{2} + 5,Calcular:,1BC,Recuperación 1ª Ev.,ex03e02,1,3,1,True,True
\frac{{( {2\sqrt {7}  + 2\sqrt {3} } )^2}\cdot( {5 - \sqrt {21} })}{(\sqrt{6}+\sqrt{2})\cdot(\sqrt{6}-\sqrt{2})},((-sqrt(21) + 5)*(2*sqrt(3) + 2*sqrt(7))**2)/(((-sqrt(2) + sqrt(6))*(sqrt(2) + sqrt(6)))),8,Calcular:,1BC,Recuperación 1ª Ev.,ex03e02,1,3,1,True,True
"tres números pares consecutivos y negativos sabiendo que 
                    su producto es igual a cuatro veces su suma","Eq(2*x + 2 + 2*x + 2*x - 2, (((2*x)*(2*x + 2))*(2*x - 2))/4)","\left [ -2, \quad 0, \quad 2\right ] \to \left [ -6, \quad -4, \quad -2\right ] \lor \left [ -2, \quad 0, \quad 2\right ] \lor \left [ 2, \quad 4, \quad 6\right ]",Halla:,1BC,Recuperación 1ª Ev.,ex03e03,1,3,2,False,True
"tres números pares consecutivos sabiendo que su 
                    producto es igual a dos veces su suma.","Eq(2*x + 2 + 2*x + 2*x - 2, (((2*x)*(2*x + 2))*(2*x - 2))/2)","\left [ 0, \quad - \frac{\sqrt{10}}{2}, \quad \frac{\sqrt{10}}{2}\right ] \to \left [ -2, \quad 0, \quad 2\right ] \lor \left [ - \sqrt{10} - 2, \quad - \sqrt{10}, \quad - \sqrt{10} + 2\right ] \lor \left [ -2 + \sqrt{10}, \quad \sqrt{10}, \quad 2 + \sqrt{10}\right ]",Halla:,1BC,Recuperación 1ª Ev.,ex03e03,1,3,2,False,True
\frac{{3{x^2} + 5x - 2}}{{{x^4} + 2{x^2} - 15}}:\frac{{9{x^2} - 6x + 1}}{{{x^4} + 5{x^2}}},((3*x**2 + 5*x - 2)/(x**4 + 2*x**2 - 15))/(((9*x**2 - 6*x + 1)/(x**4 + 5*x**2))),\frac{x^{3} + 2 x^{2}}{3 x^{3} - x^{2} - 9 x + 3},Simplifica:,1BC,Recuperación 1ª Ev.,ex03e04,1,3,1,True,True
\frac{{{x^2} - 4}}{{{x^3} - {x^2} + 3x - 3}}:\frac{{{x^2} - 3x + 2}}{{{x^3} + 3x}},((x**2 - 4)/(3*x + x**3 - x**2 - 3))/(((x**2 - 3*x + 2)/(x**3 + 3*x))),\frac{x^{2} + 2 x}{x^{2} - 2 x + 1},Simplifica:,1BC,Recuperación 1ª Ev.,ex03e04,1,3,1,True,True
\frac{\frac{x}{{{x^2} - 2x + 1}}}{{\frac{{x + 1}}{{x - 1}} - \frac{{x - 1}}{{x + 1}}}},(x/(x**2 - 2*x + 1))/(-(x - 1)/(x + 1) + (x + 1)/(x - 1)),\frac{x + 1}{4 x - 4},Simplifica:,1BC,Recuperación 1ª Ev.,ex03e04,1,3,1,True,True
\left\{\begin{matrix}2\log x + \log y = 8 \\\log x - \log y = 1\end{matrix}\right.,"[Eq(2*log(x, 10) + log(y, 10), 8), Eq(log(x, 10) - log(y, 10), 1)]","\left [ \left \{ x : 1000, \quad y : 100\right \}\right ]",Resolver :,1BC,Recuperación 1ª Ev.,ex03e05,1,3,1,True,True
