enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
$$\lim_{x \to \infty}\left(\frac{3 x^{2} - 7 x + 12}{x^{2} - 10 x + 4}\right)$$,"Limit((3*x**2 - 7*x + 12)/(x**2 - 10*x + 4), x, oo, dir='-')",$3$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to \infty}\left(\frac{\left(2 x - 1\right) \left(2 x^{2} - 3\right)}{4 x^{3} - 4 x + 1}\right)$$,"Limit((2*x - 1)*(2*x**2 - 3)/(4*x**3 - 4*x + 1), x, oo, dir='-')",$1$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to -1}\left(\frac{x^{3} + 1}{x^{2} + 2 x + 1}\right)$$,"Limit((x**3 + 1)/(x**2 + 2*x + 1), x, -1, dir='+-')",No existe el límite,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to -1}\left(\frac{x^{2} - 1}{x^{2} + 3 x + 2}\right)$$,"Limit((x**2 - 1)/(x**2 + 3*x + 2), x, -1, dir='+-')",$-2$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to 1}\left(- \frac{3}{1 - x^{2}} + \frac{1}{1 - x}\right)$$,"Limit(-3/(1 - x**2) + 1/(1 - x), x, 1, dir='+-')",No existe el límite,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to 0}\left(\frac{2 x^{3} + 6 x^{2} - 3 x}{2 x^{2} + 5 x}\right)$$,"Limit((2*x**3 + 6*x**2 - 3*x)/(2*x**2 + 5*x), x, 0, dir='+-')",$- \frac{3}{5}$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to \infty}\left(\frac{2 x^{3} + 6 x^{2} - 3 x}{2 x^{2} + 5 x}\right)$$,"Limit((2*x**3 + 6*x**2 - 3*x)/(2*x**2 + 5*x), x, oo, dir='-')",$\infty$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to -\infty}\left(\frac{2 x^{3} + 6 x^{2} - 3 x}{2 x^{2} + 5 x}\right)$$,"Limit((2*x**3 + 6*x**2 - 3*x)/(2*x**2 + 5*x), x, -oo)",$-\infty$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to -\infty} \left(\frac{4 x^{2} - x}{3 x^{2} + x}\right)^{\frac{x}{1 - x}}$$,"Limit(((4*x**2 - x)/(3*x**2 + x))**(x/(1 - x)), x, -oo)",$\frac{3}{4}$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to \infty}\left(- x + \sqrt{x^{3} + 1}\right)$$,"Limit(-x + sqrt(x**3 + 1), x, oo, dir='-')",$\infty$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to \infty}\left(- x + \sqrt{x^{2} + x + 4}\right)$$,"Limit(-x + sqrt(x**2 + x + 4), x, oo, dir='-')",$\frac{1}{2}$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to \infty} \left(\frac{x^{2} + 3}{3 x^{2} - 5}\right)^{\frac{x^{2}}{2 - x}}$$,"Limit(((x**2 + 3)/(3*x**2 - 5))**(x**2/(2 - x)), x, oo, dir='-')",$\infty$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to 1} \left(\frac{x^{3} + 1}{x^{2} + 1}\right)^{\frac{3}{x - 1}}$$,"Limit(((x**3 + 1)/(x**2 + 1))**(3/(x - 1)), x, 1, dir='+-')",$e^{\frac{3}{2}}$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to 2} \left(x - 1\right)^{\frac{1}{x - 2}}$$,"Limit((x - 1)**(1/(x - 2)), x, 2, dir='+-')",$e$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios: ,5,3,1,False,False
$$\lim_{x \to -2}\left(\frac{2 x^{2} + 7 x + 6}{x^{3} + 3 x^{2} + 3 x + 2}\right)$$,"Limit((2*x**2 + 7*x + 6)/(x**3 + 3*x**2 + 3*x + 2), x, -2, dir='+-')",$- \frac{1}{3}$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios2: ,5,3,1,False,False
$$\lim_{x \to -1}\left(\frac{x^{3} + 1}{x^{2} + 2 x + 1}\right)$$,"Limit((x**3 + 1)/(x**2 + 2*x + 1), x, -1, dir='+-')",No existe el límite,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios2: ,5,3,1,False,False
$$\lim_{x \to \infty} \left(\frac{3 x - 1}{3 x - 2}\right)^{2 x}$$,"Limit(((3*x - 1)/(3*x - 2))**(2*x), x, oo, dir='-')",$e^{\frac{2}{3}}$,"Calcula los siguientes límites:
",1BC,Repaso de límites,Ejercicios2: ,5,3,1,False,False
